id,ean,name,legal_name,unit_price,is_discounted,previous_price,origin,supplier,weight,category,age_check,alcohol_by_volume,is_new,is_pack,pack_size
4240,9905000042405,Light olive oil Hacendado,HACENDADO ACEITE DE OLIVA,8.0,False,,España,Aceites Abril S.L.,1.0,"Oils, spices & sauces",False,,False,False,
4717,9904000047175,Extra virgin olive oil Hacendado,pt:Aceite de Oliva Virgen Extra,29.55,False,,"Puente de Génave, Sierra de Segura. Jaén.",ACEITES MAEVA S.L.U,3.0,"Oils, spices & sauces",False,,False,False,
4740,9904000047403,Extra virgin olive oil Hacendado,ACEITE DE OLIVA VIRGEN EXTRA,9.9,False,,Jaén,ACEITES MAEVA S.L.U,1.0,"Oils, spices & sauces",False,,False,False,
4706,8480000047069,Gran Selección extra virgin olive oil Hacendado,Aceite de Oliva Virgen Extra,8.1,False,,España,Oleoestepa S.C.A.,0.75,"Oils, spices & sauces",False,,False,False,
4640,9905000046403,Olive oil Hacendado,HACENDADO ACEITE DE OLIVA,8.0,False,,España,Aceites Abril S.L.,1.0,"Oils, spices & sauces",False,,False,False,
4711,9903000047116,Virgin olive oil Hacendado,Aceite De Oliva Virgen,26.3,False,,"Puente de Génave, Sierra de Segura. Jaén.",ACEITES MAEVA S.L.U,3.0,"Oils, spices & sauces",False,,False,False,
4749,9903000047499,Virgin olive oil Hacendado,ACEITE DE OLIVA VIRGEN,8.95,False,,"Puente de Génave, Sierra de Segura. Jaén.",ACEITES MAEVA S.L.U,1.0,"Oils, spices & sauces",False,,False,False,
4204,8480000055217,Light olive oil Hacendado,Aceite de Oliva - contiene exclusivamente aceites de oliva refinados y aceites de oliva vírgenes.,23.9,False,,España,Aceites Abril S.L.,3.0,"Oils, spices & sauces",False,,False,False,
4609,8480000046093,Intense olive oil Hacendado,pt:Aceite de oliva - contiene exclusivamente aceites de oliva refinados y aceites de oliva vírgenes,23.9,False,,España,Aceites Abril S.L.,3.0,"Oils, spices & sauces",False,,False,False,
4718,8480000047182,Extra virgin olive oil Hacendado,ACEITE DE OLIVA,3.3,False,,,ACEITES MAEVA S.L.U,0.2,"Oils, spices & sauces",False,,False,False,
