id,ean,name,legal_name,unit_price,is_discounted,previous_price,origin,supplier,weight,category,age_check,alcohol_by_volume,is_new,is_pack,pack_size
66211,8480000662118,Vino tinto Casón Histórico,Vino tinto sin DOP/IGP,1.05,False,,Producto de España,"García Carrión 1890, S.L.",1.0,Bodega,True,13.0,False,False,
66107,8410261271101,Vino tinto Don Simón,Vino tinto,1.6,False,,Producto de España,JGC S.A,1.0,Bodega,True,12.0,False,False,
66710,8436612580005,Vino tinto tempranillo Elegido,Vino Tinto,2.0,False,,España,"Terra Cellars, S.L.U.",1.0,Bodega,True,13.0,False,False,
37808,8412423110068,Vino tinto Dominio de Borgia,Vino de mesa tinto,2.7,False,,España,"Bodegas Borsao, S.A.",2.0,Bodega,True,13.5,False,False,
66960,8410275002135,Vino tinto Masía de Altigón,Vino tinto,5.55,False,,Sin IGP,"Bodegas EL Villar, S.C.V.",5.0,Bodega,True,13.0,False,False,
37804,8413557700071,Vino tinto Hacienda Zargón,Vino tinto,5.55,False,,D.O. La Mancha,N.S.Manjavacas Coop.,5.0,Bodega,True,13.0,False,False,
66320,8410537200422,Vino tinto D.O Rioja El Coto crianza,Vino tinto,6.3,False,,D.O. Rioja,"El Coto de Rioja, S.A.",0.75,Bodega,True,13.0,False,False,
67112,8411767164133,Vino tinto D.O Rioja Comportillo cosecha,VINO TINTO,2.45,False,,DO Calificada Rioja,BODEGAS ONTAÑÓN S.L.,0.75,Bodega,True,,False,False,
66314,8410591002413,Vino tinto D.O Rioja Cune crianza,vino crianza,6.95,False,,Alava,CIA.VINICOLA DEL NORTE DE ESPAÑA SA,0.75,Bodega,True,13.5,False,False,
35710,8411767164294,Vino tinto D.O Rioja Comportillo crianza,Vino tinto,3.0,False,        3.25,DO Calificada Rioja,Bodegas Ontañón,0.75,Bodega,True,,False,False,
66325,8411767164096,Vino tinto D.O Rioja Comportillo reserva,Vino tinto,4.1,False,,DO Calificada Rioja,"Bodegas Ontañón, S.L.",0.75,Bodega,True,,False,False,
66346,8410537050126,Vino tinto D.O Rioja Coto de Imaz reserva,Vino tinto,8.6,False,,D. O. C. Rioja,"El Coto de Rioja, S.A.",0.75,Bodega,True,13.5,False,False,
37139,8411767020811,Vino tinto D.O La Mancha Fidencio,Vino Tinto,1.35,False,,Denominacion de origen La Mancha,Virgen De Las Viñas Bodega Y Almazara S.C. De Clm,0.75,Bodega,True,13.0,False,False,
37134,8410702000215,Vino tinto D.O Valdepeñas Viña Albali crianza,Vino,2.7,False,        2.95,D.O.P. VALDEPEÑAS,"FELIX SOLIS, S.L.",0.75,Bodega,True,13.0,False,False,
13875,8410415370728,Vino tinto D.O Valdepeñas Pata Negra reserva,Vino tinto Reserva D.O.P Valdepeñas,2.75,False,        2.95,R.E.CLM 96/CR,Embotellado por Grupo de Bodegas Vinartis SA,0.75,Bodega,True,13.0,False,False,
35730,8410415510629,Vino tinto D.O Valdepeñas Señorío de los Llanos crianza,Vino tinto Crianza DO Valdepeñas,2.25,False,,Producto de España,GRUPO DE BODEGAS VINARTIS S.A,0.75,Bodega,False,12.5,False,False,
37160,8410702051927,Vino tinto D.O Valdepeñas Condado de Egara reserva tempranillo,Vino,2.0,False,,D.O.P. VALDEPEÑAS,"FELIX SOLIS, S.L.",0.75,Bodega,True,13.0,False,False,
37166,8480000371669,Vino tinto D.O Méntrida Mimbral reserva,Vino Tinto,3.0,False,,Denominación de Origen Protegida Méntrida,Bodegas Santa Elisa,0.75,Bodega,True,14.0,False,False,
37164,8414601138574,Vino tinto D.O La Mancha Fidencio crianza,Vino Tinto,1.65,False,,Denominacion de origen La Mancha,Virgen De Las Viñas Bodega Y Almazara S.C. De Clm,0.75,Bodega,True,13.5,False,False,
37276,8411767281144,Vino tinto D.O Ribera del Duero Abadía Mantrús crianza,VINO TINTO,4.5,False,,DO Ribera del Duero,Altos de Ontañón S.L.,0.75,Bodega,True,,False,False,
37266,8410396208201,Vino tinto D.O Arribes del Duero Hacienda Zorita crianza,Vino tinto,3.0,False,,Fermoselle - Zamora,"MARQUÉS DE LA CONCORDIA FAMILY OF WINES, S.L",0.75,Bodega,True,14.0,False,False,
37277,8411767281151,Vino tinto D.O Ribera del Duero Abadía Mantrús reserva,VINO TINTO,6.0,False,,DO Ribera del Duero,Altos de Ontañón S.L.,0.75,Bodega,True,,False,False,
